country,name,generation,emission,fuel,sigma,generation_el,generation_heat,emissions_heat,emissions_el,emission_factor
IT,Manual Match,UP_MONTALTO_1|UP_MONTALTO_2|UP_MONTALTO_3,CENTRALE TERMOELETTRICA DI MONTALTO DI CASTRO,gas,0.0,1358.0,0.0,0.0,1172.0,863.0338733431516
IT,Manual Match,UP_NAPOLIL_4,Centrale Termoelettrica Napoli,gas,0.0,1344025.0,0.0,0.0,555054.0,412.97892524320605
IT,Manual Match,UP_NCTLVRNFRR_1,Centrale Termoelettrica di Livorno Ferraris,gas,0.0,3637276.0,0.0,0.0,1367794.0,376.0489993060741
IT,Manual Match,UP_NPWRBRNDSI_8|UP_NPWRBRNDSI_9|UP_NPWRBRNDSI_10,EniPower S.p.A. - Stabilimento di Brindisi,gas,0.00017171812529526183,6575690.0,318.3082120658051,54.800022729803686,2587594.1999772703,393.50915264820424
IT,Manual Match,UP_NPWRFRRRRB_8|UP_NPWRFRRRRB_9|UP_NPWRFRRRRB_10,EniPower S.p.A.- Stabilimento di Ferrera Erbognone,gas,0.0,4597924.0,0.0,0.0,2192974.0,476.948727295188
IT,Manual Match,UP_NPWRMNTOVA_2|UP_NPWRMNTOVA_3,EniPower Mantova,gas,0.03684255972147836,3965567.0,96153.20727314774,18443.32134185857,1738611.6786581415,438.42700896445365
IT,Manual Match,UP_NPWRRVENNA_3|UP_NPWRRVENNA_9|UP_NPWRRVENNA_10|UP_NPWRRVENNA_11,EniPower S.p.A. - Stabilimento di Ravenna,gas,0.8967385666532923,4226982.0,285706.2671991896,51990.46830340481,1758151.5316965953,415.93541957278154
IT,Manual Match,UP_NRGAMOLISE_1,Centrale a ciclo combinato di Termoli,gas,0.0,1723457.0,0.0,0.0,698840.0,405.4873431713121
IT,Manual Match,UP_PIETRAFIT_5,CENTRALE TERMOELETTRICA DI PIETRAFITTA,gas,0.0,888218.0,0.0,0.0,357090.0,402.02968190241586
IT,Manual Match,UP_PORTO_COR_3|UP_PORTO_COR_4,CENTRALE TERMOELETTRICA DI  PORTO CORSINI,gas,0.0,1985133.0,0.0,0.0,788084.0,396.9930478209772
IT,Manual Match,UP_PRIOLO_C_1|UP_PRIOLO_C_2,CENTRALE TERMOELETTRICA DI PRIOLO GARGALLO,gas,0.0,897097.0,0.0,0.0,399904.0,445.77565190832206
IT,Manual Match,UP_RATINO_1,Centrale Termoelettrica di San Severo,gas,0.0,1737312.0,0.0,0.0,660832.0,380.37612127240243
IT,Manual Match,UP_S.F._DEL_1|UP_S.F._DEL_2|UP_S.F._DEL_5|UP_S.F._DEL_6,CENTRALE TERMOELETTRICA DI SAN FILIPPO DEL MELA,oil,0.0,658535.0,0.0,0.0,657769.0,998.8368120145475
IT,Manual Match,UP_SBARBARA_3,CENTRALE TERMOELETTRICA DI SANTA BARBARA,gas,0.0,1451244.0,0.0,0.0,558570.0,384.89048016735984
IT,Manual Match,UP_SCTNPWPFRR_2|UP_SCTNPWPFRR_3,Società EniPower - Stabilimento di Ferrara,gas,0.0,2609177.0,47751.94696719269,8665.749592090893,1082282.250407909,414.79832545201384
IT,Manual Match,UP_SMRICRICHI_1,Simeri Crichi,gas,0.0,3000140.0,0.0,0.0,1147394.0,382.4468191484397
IT,Manual Match,UP_SPARANISE_1|UP_SPARANISE_2,Calenia Energia,gas,0.0,1974784.0,0.0,0.0,777390.0,393.65824312937514
IT,Manual Match,UP_SRGNPGLCNT_1,Centrale a ciclo combinato di Modugno,gas,0.0,1835218.0,0.0,0.0,737103.0,401.64329251347795
IT,Manual Match,UP_TAVAZZANO_5|UP_TAVAZZANO_C_6,Centrale di Tavazzano e Montanaso,gas,0.0,3648158.0,0.0,0.0,1400500.0,383.89236431097555
IT,Manual Match,UP_TERMINI_I_4|UP_TERMINI_I_5|UP_TERMINI_I_6|UP_TERMINI_I_42,CENTRALE TERMOELETTRICA DI TERMINI IMERESE,gas,0.0,1527591.0,0.0,0.0,712157.0,466.1961218676989
IT,Manual Match,UP_TORINONORD_1,Centrale termoelettrica Torino Nord,gas,0.0,2031286.0,0.0,0.0,872221.0,429.3934975183209
IT,Manual Match,UP_TORREVALN_2|UP_TORREVALN_3|UP_TORREVALN_4,CENTRALE TERMOELETTRICA DI TORREVALDALIGA NORD,coal,0.0,3670639.0,0.0,0.0,3847044.0,1048.0583898334867
IT,Manual Match,UP_TRRVLDLIGA_5|UP_TRRVLDLIGA_6,Centrale Termoelettrica Torrevaldaliga,gas,0.0,1537416.0,0.0,0.0,648595.0,421.873455200154
IT,Manual Match,UP_VADOTERM_5,Centrale Termoelettrica Vado Ligure,gas,0.0,1302453.0,0.0,0.0,500157.0,384.0115535838913
IT,altomonte,UP_ALTOMONTE_1,Altomonte,gas,0.0,3035542.0,0.0,0.0,1200239.0,395.39528690428267
IT,candela,UP_CANDELA_1,Candela,gas,0.0,1461915.0,264947.90785691864,42869.56271370213,540670.4372862979,369.8371227371618
IT,cassano,UP_CASSANO_2,CENTRALE TERMOELETTRICA DI CASSANO D'ADDA,gas,0.0,1190985.0,22585.83316202658,3937.9521117852246,474638.04788821476,398.52563037167954
IT,fusina,UP_FUSINA_T_1|UP_FUSINA_T_2|UP_FUSINA_T_3|UP_FUSINA_T_4,CENTRALE TERMOELETTRICA DI  FUSINA,coal,0.0,431081.0,0.0,0.0,441932.0,1025.1716034805524
IT,gissi,UP_GISSI_1|UP_GISSI_2,CENTRALE DI GISSI,gas,0.0,2379062.0,0.0,0.0,907154.0,381.3074228414392
IT,larino,UP_LARINO_TG_1|UP_LARINO_TG_2,CENTRALE TERMOELETTRICA DI LARINO,gas,0.0,1976.0,0.0,0.0,1451.0,734.3117408906883
IT,leini,UP_LEINI_1,Centrale Termoelettrica Leinì,gas,0.0,1865768.0,49293.4133254319,8060.517147070465,697354.4828529295,373.76269871330703
IT,ostiglia,UP_OSTIGLIA_12|UP_OSTIGLIA_3,Centrale Termoelettrica di Ostiglia,gas,0.0,3832101.0,0.0,0.0,1445605.0,377.2356208774247
IT,piacenza,UP_PIACENZA_4,CENTRALE TERMOELETTRICA DI PIACENZA LEVANTE,gas,0.0,1295352.0,16738.31404218439,2837.4954677910728,501918.5045322089,387.47653497443855
IT,rizziconi,UP_RIZZICONI_1|UP_RIZZICONI_2,Rizziconi Energia,gas,0.0,2788127.0,0.0,0.0,1075554.0,385.76219806343113
IT,roselectra,UP_ROSELECTRA_1,Centrale Termoelettrica Roselectra,gas,0.0,2031046.0,1390.6707362375419,229.39869564600423,765787.601304354,377.04099331297965
IT,sermide,UP_SERMIDE_3|UP_SERMIDE_4,CENTRALE TERMOELETTRICA SERMIDE,gas,0.0,1192837.0,0.0,0.0,486292.0,407.67682424337943
IT,spezia,UP_SPEZIA_CE_3,CENTRALE TERMOELETTRICA DI LA SPEZIA,coal,0.0,230739.0,0.0,0.0,238526.0,1033.748087666151
IT,sulcis,UP_SULCIS_CEN_2|UP_SULCIS_CE_3,CENTRALE TERMOELETTRICA DI SULCIS,coal,0.0,1187211.0,0.0,0.0,1237383.0,1042.2603901075715
IT,torviscosa,UP_TORVISCOSA_1,TORVISCOSA,gas,1.0,3246518.0,174185.2675693351,28821.927108111464,1227867.0728918884,378.2104620679412
IT,trapani,UP_TRAPANI_C_1|UP_TRAPANI_C_2,Centrale Turbogas di Trapani,gas,0.0,125013.0,0.0,0.0,89367.0,714.8616543879436
IT,turbigo,UP_TURBIGO_4,TURBIGO,gas,0.0,2650613.0,0.0,0.0,1051006.0,396.51431574507484
IT,voghera,UP_VOGHERA_1,VOGHERA ENERGIA S.p.A.,gas,0.0,2011074.0,0.0,0.0,757988.0,376.9070655778952
LT,Manual Match,KTE,Kauno termofikacinė elektrinė,gas,0.0,1830.0,0.0,0.0,1853.0,1012.568306010929
