freq,unit,indic_nrg,geo\TIME_PERIOD	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,CDD,SI	6.02 	5.81 	6.55 	8.02 	33.46 	6.68 	14.09 	12.53 	17.90 	31.88 	7.85 	7.25 	19.03 	56.48 	22.87 	50.14 	14.54 	8.56 	1.51 	33.50 	15.63 	35.37 	27.91 	22.78 	116.16 	15.71 	22.82 	52.38 	37.69 	25.73 	23.40 	45.28 	43.98 	79.05 	87.05 	11.78 	106.05 	32.16 	88.28 	53.03 	72.66 	29.66 	63.82 	81.16 	66.86 
A,NR,CDD,SK	7.62 	2.38 	11.04 	6.26 	16.47 	5.52 	10.22 	16.37 	17.88 	25.53 	13.07 	7.93 	15.56 	55.08 	18.18 	66.48 	11.67 	5.40 	6.33 	36.54 	11.52 	37.08 	24.33 	35.63 	40.95 	10.53 	20.20 	38.82 	54.98 	15.54 	23.14 	45.76 	33.44 	80.87 	61.66 	19.90 	117.67 	27.08 	59.87 	53.06 	65.09 	19.92 	62.28 	67.77 	46.44 
A,NR,HDD,AT	3953.83 	4225.38 	3913.61 	3781.24 	3729.22 	4074.61 	4118.32 	4007.53 	4056.48 	3731.00 	3595.02 	3653.29 	4007.59 	3595.32 	3766.17 	3367.48 	3799.04 	4119.39 	3684.86 	3714.68 	3670.18 	3408.97 	3747.09 	3480.79 	3703.61 	3737.74 	3853.61 	3649.35 	3363.28 	3444.43 	3504.84 	3905.88 	3409.28 	3552.85 	3635.43 	3126.98 	3316.42 	3419.30 	3498.07 	3193.65 	3279.50 	3322.37 	3633.44 	3228.81 	3147.64 
A,NR,HDD,BE	3248.74 	3195.81 	3021.65 	2841.18 	2929.98 	3077.65 	3319.09 	3224.22 	3254.54 	2730.52 	2634.02 	2655.17 	3037.75 	2776.15 	2857.38 	2594.86 	2719.37 	3290.62 	2751.57 	2723.95 	2606.16 	2515.89 	2718.99 	2527.93 	2687.07 	2773.96 	2661.22 	2588.67 	2439.18 	2698.26 	2692.13 	3193.64 	2404.68 	2766.54 	3021.70 	2323.21 	2632.62 	2695.22 	2584.07 	2511.15 	2532.35 	2339.09 	2770.92 	2377.06 	2363.29 
A,NR,HDD,BG	2657.40 	2962.03 	2754.47 	2840.23 	2665.66 	2777.14 	2950.75 	2820.50 	3031.34 	2904.03 	2563.41 	2526.37 	3003.33 	2735.40 	2885.77 	2486.25 	2779.84 	3039.62 	2937.72 	2692.83 	2478.83 	2481.29 	2525.98 	2522.88 	2891.31 	2537.40 	2692.51 	2660.51 	2393.19 	2466.82 	2437.31 	2516.82 	2798.59 	2614.00 	2387.56 	2365.02 	2371.11 	2420.17 	2527.59 	2352.10 	2152.56 	2247.35 	2503.07 	2307.09 	2081.00 
A,NR,HDD,CY	662.88 	865.97 	775.04 	956.94 	916.01 	827.11 	801.69 	797.39 	872.02 	935.47 	880.31 	824.94 	807.88 	1180.09 	960.75 	815.69 	907.61 	795.37 	910.78 	757.00 	662.95 	863.34 	636.57 	714.82 	793.64 	844.33 	767.46 	852.91 	804.12 	734.66 	710.65 	498.76 	794.38 	817.04 	707.11 	523.15 	749.52 	677.81 	720.83 	470.75 	693.06 	626.43 	609.84 	695.96 	529.77 
A,NR,HDD,CZ	3737.57 	4042.17 	3685.19 	3522.65 	3478.35 	3777.85 	3984.81 	3756.50 	3951.86 	3459.70 	3312.49 	3302.92 	3746.58 	3370.68 	3577.73 	3269.88 	3579.79 	4116.32 	3640.37 	3427.02 	3312.24 	3097.45 	3560.09 	3273.97 	3460.67 	3470.78 	3550.00 	3430.32 	3180.25 	3210.66 	3333.48 	3828.88 	3234.60 	3399.61 	3514.82 	2919.87 	3090.62 	3247.67 	3311.50 	2995.64 	2998.07 	3078.94 	3452.39 	3083.31 	2921.97 
A,NR,HDD,DE	3578.77 	3643.55 	3426.61 	3214.91 	3215.47 	3505.33 	3665.22 	3557.00 	3702.66 	3089.35 	2985.04 	2957.58 	3403.08 	3106.43 	3297.91 	3004.46 	3264.50 	3822.29 	3228.41 	3135.18 	3003.63 	2842.27 	3216.74 	3052.98 	3221.84 	3174.13 	3149.06 	3024.04 	2820.38 	2985.84 	3081.38 	3635.40 	2873.02 	3130.93 	3289.06 	2659.00 	2908.42 	3009.02 	2965.83 	2774.95 	2800.81 	2741.03 	3114.19 	2736.32 	2661.88 
A,NR,HDD,DK	4022.44 	3813.34 	3787.91 	3597.49 	3477.43 	3590.15 	4067.97 	3920.07 	4071.66 	3359.74 	3151.18 	3084.85 	3502.41 	3148.59 	3572.27 	3421.25 	3549.28 	4035.52 	3490.29 	3410.83 	3202.85 	3112.07 	3494.43 	3189.34 	3325.61 	3309.22 	3261.34 	3084.26 	3000.97 	3019.35 	3230.76 	3982.16 	3148.45 	3424.15 	3396.28 	2834.98 	3114.15 	3141.46 	3112.11 	3048.54 	3026.80 	2921.40 	3263.77 	3019.14 	3034.40 
A,NR,HDD,EE	4740.53 	4952.97 	4639.28 	4487.33 	4245.53 	4414.39 	5165.59 	4690.19 	5266.79 	4483.04 	3891.55 	4050.75 	4196.81 	4198.19 	4605.20 	4639.03 	4217.99 	4826.67 	4451.34 	4485.82 	4169.20 	3904.14 	4356.83 	4277.70 	4436.75 	4338.20 	4331.94 	4173.78 	4056.17 	3882.35 	4318.15 	4887.23 	4084.00 	4579.62 	4154.32 	4143.17 	3795.56 	4208.45 	4209.57 	4064.64 	3883.05 	3554.43 	4283.10 	4117.58 	3985.22 
